Params,Test MSE,Test R2,Train Time
"{'n_estimators': 100, 'learning_rate': 0.01, 'max_depth': 3, 'tree_method': 'hist', 'use_label_encoder': False, 'eval_metric': 'rmse'}",0.023229901338897123,0.8179565681071114,0.691443920135498
"{'n_estimators': 100, 'learning_rate': 0.01, 'max_depth': 4, 'tree_method': 'hist', 'use_label_encoder': False, 'eval_metric': 'rmse'}",0.022343607890669553,0.8249020948498087,0.4908926486968994
"{'n_estimators': 100, 'learning_rate': 0.01, 'max_depth': 5, 'tree_method': 'hist', 'use_label_encoder': False, 'eval_metric': 'rmse'}",0.021951260483879985,0.8279767643193106,0.8402643203735352
"{'n_estimators': 100, 'learning_rate': 0.01, 'max_depth': 6, 'tree_method': 'hist', 'use_label_encoder': False, 'eval_metric': 'rmse'}",0.021877804936678614,0.8285524060195927,0.9094045162200928
"{'n_estimators': 100, 'learning_rate': 0.01, 'max_depth': 10, 'tree_method': 'hist', 'use_label_encoder': False, 'eval_metric': 'rmse'}",0.021879634623172422,0.8285380674994345,1.4490301609039307
"{'n_estimators': 100, 'learning_rate': 0.01, 'max_depth': 20, 'tree_method': 'hist', 'use_label_encoder': False, 'eval_metric': 'rmse'}",0.021879634623172422,0.8285380674994345,1.4475467205047607
"{'n_estimators': 100, 'learning_rate': 0.01, 'max_depth': 50, 'tree_method': 'hist', 'use_label_encoder': False, 'eval_metric': 'rmse'}",0.021879634623172422,0.8285380674994345,1.428670883178711
"{'n_estimators': 100, 'learning_rate': 0.01, 'max_depth': 100, 'tree_method': 'hist', 'use_label_encoder': False, 'eval_metric': 'rmse'}",0.021879634623172422,0.8285380674994345,1.4457454681396484
"{'n_estimators': 100, 'learning_rate': 0.05, 'max_depth': 3, 'tree_method': 'hist', 'use_label_encoder': False, 'eval_metric': 'rmse'}",0.0012687567669789654,0.9900572614266151,0.20403814315795898
"{'n_estimators': 100, 'learning_rate': 0.05, 'max_depth': 4, 'tree_method': 'hist', 'use_label_encoder': False, 'eval_metric': 'rmse'}",0.0009715944667427428,0.9923860033431211,0.3701777458190918
"{'n_estimators': 100, 'learning_rate': 0.05, 'max_depth': 5, 'tree_method': 'hist', 'use_label_encoder': False, 'eval_metric': 'rmse'}",0.0007880598348055069,0.993824290737528,0.6221315860748291
"{'n_estimators': 100, 'learning_rate': 0.05, 'max_depth': 6, 'tree_method': 'hist', 'use_label_encoder': False, 'eval_metric': 'rmse'}",0.000910588230947015,0.9928640847765762,0.9398789405822754
"{'n_estimators': 100, 'learning_rate': 0.05, 'max_depth': 10, 'tree_method': 'hist', 'use_label_encoder': False, 'eval_metric': 'rmse'}",0.0010095232960517456,0.9920887703004853,2.0557899475097656
"{'n_estimators': 100, 'learning_rate': 0.05, 'max_depth': 20, 'tree_method': 'hist', 'use_label_encoder': False, 'eval_metric': 'rmse'}",0.0009994565644779805,0.9921676592435289,2.4869489669799805
"{'n_estimators': 100, 'learning_rate': 0.05, 'max_depth': 50, 'tree_method': 'hist', 'use_label_encoder': False, 'eval_metric': 'rmse'}",0.0009994565644779805,0.9921676592435289,2.382394790649414
"{'n_estimators': 100, 'learning_rate': 0.05, 'max_depth': 100, 'tree_method': 'hist', 'use_label_encoder': False, 'eval_metric': 'rmse'}",0.0009994565644779805,0.9921676592435289,2.1563117504119873
"{'n_estimators': 100, 'learning_rate': 0.1, 'max_depth': 3, 'tree_method': 'hist', 'use_label_encoder': False, 'eval_metric': 'rmse'}",0.0010216880313206522,0.991993440142853,0.19466543197631836
